sample_id	sample_type	sample_order	raw_file	extraction_date	acquisition_date	lc_column_id
11441031003	Sample	78	B0054_MoTrPAC_Tranche4_HumanMuscle_HP-11441031003.raw	2025-03-13	2025-03-15	186002015_01143426718802
13268011003	Sample	79	B0055_MoTrPAC_Tranche4_HumanMuscle_HP-13268011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
13268041003	Sample	80	B0056_MoTrPAC_Tranche4_HumanMuscle_HP-13268041003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11109011003	Sample	81	B0057_MoTrPAC_Tranche4_HumanMuscle_HP-11109011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12654041003	Sample	82	B0058_MoTrPAC_Tranche4_HumanMuscle_HP-12654041003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12654011003	Sample	83	B0059_MoTrPAC_Tranche4_HumanMuscle_HP-12654011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11784011003	Sample	84	B0060_MoTrPAC_Tranche4_HumanMuscle_HP-11784011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
QC_PREFA04	QC-DriftCorrection	85	B0060a_MoTrPAC_Tranche4_HumanMuscle_HP-PREFA04.raw	2025-03-13	2025-03-15	186002015_01143426718802
QC_PREFB04	QC-Pooled	86	B0060b_MoTrPAC_Tranche4_HumanMuscle_HP-PREFB04.raw	2025-03-13	2025-03-15	186002015_01143426718802
12462031003	Sample	87	B0061_MoTrPAC_Tranche4_HumanMuscle_HP-12462031003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12462011003	Sample	88	B0062_MoTrPAC_Tranche4_HumanMuscle_HP-12462011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11760011003	Sample	89	B0063_MoTrPAC_Tranche4_HumanMuscle_HP-11760011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11100031003	Sample	90	B0064_MoTrPAC_Tranche4_HumanMuscle_HP-11100031003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11100041003	Sample	91	B0065_MoTrPAC_Tranche4_HumanMuscle_HP-11100041003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11100011003	Sample	92	B0066_MoTrPAC_Tranche4_HumanMuscle_HP-11100011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11100021003	Sample	93	B0067_MoTrPAC_Tranche4_HumanMuscle_HP-11100021003.raw	2025-03-13	2025-03-15	186002015_01143426718802
13328011003	Sample	94	B0068_MoTrPAC_Tranche4_HumanMuscle_HP-13328011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
13328021003	Sample	95	B0069_MoTrPAC_Tranche4_HumanMuscle_HP-13328021003.raw	2025-03-13	2025-03-15	186002015_01143426718802
13328041003	Sample	96	B0070_MoTrPAC_Tranche4_HumanMuscle_HP-13328041003.raw	2025-03-13	2025-03-15	186002015_01143426718802
13328031003	Sample	97	B0071_MoTrPAC_Tranche4_HumanMuscle_HP-13328031003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12696031003	Sample	98	B0072_MoTrPAC_Tranche4_HumanMuscle_HP-12696031003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12696011003	Sample	99	B0073_MoTrPAC_Tranche4_HumanMuscle_HP-12696011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12846011003	Sample	100	B0074_MoTrPAC_Tranche4_HumanMuscle_HP-12846011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12846031003	Sample	101	B0075_MoTrPAC_Tranche4_HumanMuscle_HP-12846031003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11105011003	Sample	102	B0076_MoTrPAC_Tranche4_HumanMuscle_HP-11105011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12967021003	Sample	103	B0077_MoTrPAC_Tranche4_HumanMuscle_HP-12967021003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12967011003	Sample	104	B0078_MoTrPAC_Tranche4_HumanMuscle_HP-12967011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11099011003	Sample	105	B0079_MoTrPAC_Tranche4_HumanMuscle_HP-11099011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
11099021003	Sample	106	B0080_MoTrPAC_Tranche4_HumanMuscle_HP-11099021003.raw	2025-03-13	2025-03-15	186002015_01143426718802
QC_PREFA05	QC-DriftCorrection	107	B0080a_MoTrPAC_Tranche4_HumanMuscle_HP-PREFA05.raw	2025-03-13	2025-03-15	186002015_01143426718802
QC_PREFB05	QC-Pooled	108	B0080b_MoTrPAC_Tranche4_HumanMuscle_HP-PREFB05.raw	2025-03-13	2025-03-15	186002015_01143426718802
12171041003	Sample	109	B0081_MoTrPAC_Tranche4_HumanMuscle_HP-12171041003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12171011003	Sample	110	B0082_MoTrPAC_Tranche4_HumanMuscle_HP-12171011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
12609011003	Sample	111	B0083_MoTrPAC_Tranche4_HumanMuscle_HP-12609011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
13024011003	Sample	112	B0084_MoTrPAC_Tranche4_HumanMuscle_HP-13024011003.raw	2025-03-13	2025-03-15	186002015_01143426718802
13365021003	Sample	113	B0085_MoTrPAC_Tranche4_HumanMuscle_HP-13365021003.raw	2025-03-13	2025-03-16	186002015_01143426718802
13365041003	Sample	114	B0086_MoTrPAC_Tranche4_HumanMuscle_HP-13365041003.raw	2025-03-13	2025-03-16	186002015_01143426718802
13365011003	Sample	115	B0087_MoTrPAC_Tranche4_HumanMuscle_HP-13365011003.raw	2025-03-13	2025-03-16	186002015_01143426718802
13365031003	Sample	116	B0088_MoTrPAC_Tranche4_HumanMuscle_HP-13365031003.raw	2025-03-13	2025-03-16	186002015_01143426718802
13661021003	Sample	117	B0089_MoTrPAC_Tranche4_HumanMuscle_HP-13661021003.raw	2025-03-13	2025-03-16	186002015_01143426718802
13661031003	Sample	118	B0090_MoTrPAC_Tranche4_HumanMuscle_HP-13661031003.raw	2025-03-13	2025-03-16	186002015_01143426718802
13661011003	Sample	119	B0091_MoTrPAC_Tranche4_HumanMuscle_HP-13661011003.raw	2025-03-13	2025-03-16	186002015_01143426718802
13661041003	Sample	120	B0092_MoTrPAC_Tranche4_HumanMuscle_HP-13661041003.raw	2025-03-13	2025-03-16	186002015_01143426718802
12884011003	Sample	121	B0093_MoTrPAC_Tranche4_HumanMuscle_HP-12884011003.raw	2025-03-13	2025-03-16	186002015_01143426718802
